NIVNOME,TERCODIGO,TERNOME,TERNOMEPADRAO,TERCAPITAL,TERAREA,NIVAMC
AMC 91-00,412000,Porecatu,PORECATU,true,291.4,true
AMC 60-00,412000,Porecatu,PORECATU,true,291.4,true
AMC 70-00,412000,Porecatu,PORECATU,true,291.4,true
Municípios,4120002,Porecatu,PORECATU,true,291.4,true
AMC 70-00,412010,Porto Amazonas,PORTO AMAZONAS,true,179,true
AMC 60-00,412010,Porto Amazonas,PORTO AMAZONAS,true,179,true
AMC 91-00,412010,Porto Amazonas,PORTO AMAZONAS,true,179,true
Municípios,4120101,Porto Amazonas,PORTO AMAZONAS,true,179,true
Municípios,4120150,Porto Barreiro,PORTO BARREIRO,true,365.9,true
AMC 91-00,412020,Porto Rico,PORTO RICO,true,221.9,true
AMC 70-00,412020,Porto Rico,PORTO RICO,true,221.9,true
Municípios,4120200,Porto Rico,PORTO RICO,true,221.9,true
AMC 70-00,412030,Porto Vitória,PORTO VITORIA,true,201.6,true
AMC 91-00,412030,Porto Vitória,PORTO VITORIA,true,201.6,true
Municípios,4120309,Porto Vitória,PORTO VITORIA,true,201.6,true
Municípios,4120333,Prado Ferreira,PRADO FERREIRA,true,164.5,true
Municípios,4120358,Pranchita,PRANCHITA,true,226.5,true
AMC 91-00,412040,Presidente Castelo Branco,PRESIDENTE CASTELO BRANCO,true,157.1,true
AMC 70-00,412040,Presidente Castelo Branco,PRESIDENTE CASTELO BRANCO,true,157.1,true
Municípios,4120408,Presidente Castelo Branco,PRESIDENTE CASTELO BRANCO,true,157.1,true
AMC 70-00,412050,Primeiro de Maio,PRIMEIRO DE MAIO,true,409.8,true
AMC 91-00,412050,Primeiro de Maio,PRIMEIRO DE MAIO,true,409.8,true
AMC 60-00,412050,Primeiro de Maio,PRIMEIRO DE MAIO,true,409.8,true
Municípios,4120507,Primeiro de Maio,PRIMEIRO DE MAIO,true,409.8,true
AMC 91-00,412060,Prudentópolis,PRUDENTOPOLIS,true,2280.1,true
AMC 70-00,412060,Prudentópolis,PRUDENTOPOLIS,true,2280.1,true
Municípios,4120606,Prudentópolis,PRUDENTOPOLIS,true,2280.1,true
Municípios,4120655,Quarto Centenário,QUARTO CENTENARIO,true,361.6,true
AMC 70-00,412070,Quatiguá,QUATIGUA,true,120,true
AMC 91-00,412070,Quatiguá,QUATIGUA,true,120,true
AMC 60-00,412070,Quatiguá,QUATIGUA,true,120,true
Municípios,4120705,Quatiguá,QUATIGUA,true,120,true
AMC 91-00,412080,Quatro Barras,QUATRO BARRAS,true,180.4,true
AMC 70-00,412080,Quatro Barras,QUATRO BARRAS,true,180.4,true
Municípios,4120804,Quatro Barras,QUATRO BARRAS,true,180.4,true
Municípios,4120853,Quatro Pontes,QUATRO PONTES,true,197.4,true
Municípios,4120903,Quedas do Iguaçu,QUEDAS DO IGUACU,true,819.9,true
AMC 70-00,412100,Querência do Norte,QUERENCIA DO NORTE,true,898.2,true
